"Project","generator-java"
"Directory Scanned","/home/travis/build/arf/java-codegen-yeoman/generator-java/production/java-codegen-yeoman/generator-java"
"Date","2017-08-08T10:36:44.253Z"
"CLI Version","2.1.7"
"WILD Version","1.0.1"
""
"Name","Version","Need Pedigree Review","Reason","License Types","Declared License","License Status","Path"
"extend","3.0.1","false","Exempt - Version closely related to 3.0.0","MIT","MIT","Approved","node_modules/extend"
"external-editor","1.1.1","true","New package and not exempt","MIT","MIT","Approved","node_modules/external-editor"
"figures","1.7.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/figures"
"object-assign","4.1.1","false","Exempt - Version closely related to 4.1.0","MIT","MIT","Approved","node_modules/figures/node_modules/object-assign"
"find-up","2.1.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/find-up"
"first-chunk-stream","2.0.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/first-chunk-stream"
"fs.realpath","1.0.0","false","Previously pedigree reviewed","ISC,KEYWORD,MIT,UNKNOWN","ISC","Needs Review","node_modules/fs.realpath"
"get-stream","3.0.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/get-stream"
"gh-got","5.0.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/gh-got"
"github-username","3.0.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/github-username"
"glob","7.1.2","false","Exempt - Version closely related to 7.1.1","ISC","ISC","Approved","node_modules/glob"
"globby","6.1.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/globby"
"got","6.7.1","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/got"
"graceful-fs","4.1.11","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/graceful-fs"
"grouped-queue","0.3.3","true","New package and not exempt","MIT","MIT","Approved","node_modules/grouped-queue"
"handlebars","4.0.10","false","Exempt - Version closely related to 4.0.6","MIT","MIT","Approved","node_modules/handlebars"
"has-ansi","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/has-ansi"
"hosted-git-info","2.5.0","false","Exempt - Expected license matched","ISC","ISC","Approved","node_modules/hosted-git-info"
"inflight","1.0.6","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/inflight"
"inherits","2.0.3","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/inherits"
"inquirer","1.2.3","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/inquirer"
"interpret","1.0.3","false","Exempt - Version closely related to 1.0.1","MIT","MIT","Approved","node_modules/interpret"
"is-arrayish","0.2.1","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/is-arrayish"
